Designator,Mid X,Mid Y,Rotation,Layer
LED246,117.2353,-46.6,180.0,top
LED247,45.2353,-46.6,180.0,top
LED248,9.2353,-52.6,180.0,top
LED249,33.2353,-52.6,180.0,top
LED25,51.2353,-10.6,180.0,top
LED250,57.2353,-52.6,180.0,top
LED251,249.2353,-40.6,180.0,top
LED252,213.2353,-46.6,180.0,top
LED253,177.2353,-46.6,180.0,top
LED254,141.2353,-46.6,180.0,top
LED255,69.2353,-46.6,180.0,top
LED256,87.2353,-52.6,180.0,top
LED257,231.2353,-40.6,180.0,top
LED258,105.2353,-46.6,180.0,top
LED259,33.2353,-46.6,180.0,top
LED26,141.2353,-4.6,180.0,top
LED260,15.2353,-52.6,180.0,top
LED261,39.2353,-52.6,180.0,top
LED262,63.2353,-52.6,180.0,top
LED263,249.2353,-46.6,180.0,top
LED264,207.2353,-46.6,180.0,top
LED265,171.2353,-46.6,180.0,top
LED266,135.2353,-46.6,180.0,top
LED267,63.2353,-46.6,180.0,top
LED268,99.2353,-52.6,180.0,top
LED269,237.2353,-40.6,180.0,top
LED27,159.2353,-10.6,180.0,top
LED270,99.2353,-46.6,180.0,top
LED271,27.2353,-46.6,180.0,top
LED272,21.2353,-52.6,180.0,top
LED273,45.2353,-52.6,180.0,top
LED274,69.2353,-52.6,180.0,top
LED275,231.2353,-46.6,180.0,top
LED276,195.2353,-46.6,180.0,top
LED277,159.2353,-46.6,180.0,top
LED278,129.2353,-46.6,180.0,top
LED279,51.2353,-46.6,180.0,top
LED28,147.2353,-4.6,180.0,top
LED280,105.2353,-52.6,180.0,top
LED281,243.2353,-40.6,180.0,top
LED282,87.2353,-46.6,180.0,top
LED283,9.2353,-46.6,180.0,top
LED284,27.2353,-52.6,180.0,top
LED285,51.2353,-52.6,180.0,top
LED286,75.2353,-52.6,180.0,top
LED287,225.2353,-46.6,180.0,top
LED288,189.2353,-46.6,180.0,top
LED289,153.2353,-46.6,180.0,top
LED29,135.2353,-10.6,180.0,top
LED290,123.2353,-46.6,180.0,top
LED291,111.2353,-52.6,180.0,top
LED292,237.2353,-52.6,180.0,top
LED293,135.2353,-52.6,180.0,top
LED294,159.2353,-52.6,180.0,top
